,events,woba_value,launch_speed,launch_angle
9388,single,0.9,91.6,3.0
9392,field_out,0.0,93.2,3.0
9396,field_out,0.0,98.1,-9.0
9401,field_out,0.0,79.4,-21.0
9405,home_run,2.0,107.5,20.0
9407,field_out,0.0,92.7,-15.0
9410,field_out,0.0,83.3,39.0
9411,field_out,0.0,75.7,-21.0
9423,field_out,0.0,91.8,52.0
9425,field_out,0.0,55.4,67.0
9427,single,0.9,79.0,7.0
9434,single,0.9,99.6,-27.0
9436,single,0.9,110.9,2.0
9437,field_out,0.0,53.1,-86.0
9446,field_out,0.0,85.9,-32.0
9452,field_out,0.0,90.9,-23.0
9459,single,0.9,87.8,4.0
9465,field_out,0.0,103.4,33.0
9469,field_out,0.0,81.9,42.0
9476,field_out,0.0,77.3,-23.0
9479,field_out,0.0,101.8,-23.0
9485,field_out,0.0,102.9,-32.0
9495,field_out,0.0,69.7,0.0
9499,field_out,0.0,78.2,75.0
9506,single,0.9,95.8,-9.0
9508,field_out,0.0,52.2,-70.0
9522,field_out,0.0,104.4,5.0
9524,field_out,0.0,88.9,-31.0
9529,double,1.25,104.0,1.0
9539,field_out,0.0,107.0,-13.0
9541,field_out,0.0,84.2,73.0
9548,field_out,0.0,85.2,60.0
9556,field_out,0.0,75.5,-32.0
9560,field_out,0.0,96.2,33.0
9567,field_out,0.0,78.2,47.0
9572,field_out,0.0,83.4,-37.0
9577,double,1.25,106.3,2.0
9587,single,0.9,105.9,11.0
9609,field_out,0.0,36.9,-32.0
9612,single,0.9,90.7,7.0
9615,field_out,0.0,93.2,-20.0
9618,field_out,0.0,89.6,-8.0
9621,field_out,0.0,58.5,1.0
9622,field_out,0.0,82.2,87.0
9634,field_out,0.0,73.2,-20.0
9635,field_out,0.0,65.3,-60.0
9636,field_out,0.0,66.7,-37.0
9639,field_out,0.0,55.3,6.0
9642,single,0.9,64.5,-6.0
9644,single,0.9,63.9,31.0
9649,field_out,0.0,101.1,32.0
9650,field_out,0.0,90.8,28.0
9656,field_out,0.0,65.1,72.0
9659,single,0.9,76.1,21.0
9667,field_out,0.0,104.9,14.0
9669,field_out,0.0,88.9,35.0
9671,field_out,0.0,97.4,9.0
9673,field_out,0.0,67.8,-16.0
9679,field_out,0.0,88.5,-14.0
9684,field_out,0.0,95.3,39.0
9686,field_out,0.0,52.6,-64.0
9687,field_out,0.0,78.3,42.0
9689,single,0.9,85.4,-9.0
9694,single,0.9,104.4,14.0
9696,field_out,0.0,85.2,28.0
9703,field_out,0.0,70.4,79.0
9711,field_out,0.0,70.7,-2.0
9714,field_out,0.0,93.0,35.0
9719,single,0.9,71.8,39.0
9725,single,0.9,95.4,2.0
9728,field_out,0.0,88.4,58.0
9739,single,0.9,94.9,16.0
9745,field_out,0.0,78.2,-14.0
9751,field_out,0.0,92.3,-36.0
9754,field_out,0.0,94.6,-6.0
9760,field_out,0.0,89.4,-12.0
9765,home_run,2.0,99.5,38.0
9772,double,1.25,103.0,12.0
9774,field_out,0.0,42.0,-32.0
9786,single,0.9,103.3,5.0
9795,field_out,0.0,102.5,22.0
9798,single,0.9,71.2,34.0
9802,field_out,0.0,88.0,33.0
9811,single,0.9,88.8,-14.0
9821,single,0.9,87.2,-4.0
9840,single,0.9,76.3,22.0
9849,field_out,0.0,44.2,-38.0
9864,field_out,0.0,95.9,65.0
9878,field_out,0.0,95.2,19.0
9882,field_out,0.0,86.4,2.0
9884,home_run,2.0,105.8,35.0
9891,field_out,0.0,89.0,-24.0
9894,field_out,0.0,96.9,38.0
9897,field_out,0.0,76.9,34.0
9906,field_out,0.0,83.7,14.0
9908,field_out,0.0,89.5,-8.0
9921,single,0.9,100.3,-15.0
9922,field_out,0.0,86.5,-9.0
9928,field_out,0.0,94.1,59.0
9944,field_out,0.0,93.0,25.0
9952,field_out,0.0,72.6,0.0
9960,field_out,0.0,81.5,38.0
9961,field_out,0.0,82.3,3.0
9967,field_out,0.0,81.3,7.0
9972,double,1.25,98.7,17.0
9977,field_out,0.0,103.7,27.0
9984,field_out,0.0,68.1,-25.0
9987,field_out,0.0,90.7,6.0
9998,field_out,0.0,101.2,50.0
10002,field_out,0.0,76.1,55.0
10008,field_out,0.0,97.5,33.0
10014,field_out,0.0,94.8,24.0
10016,field_out,0.0,90.2,0.0
10027,single,0.9,106.1,4.0
10035,field_out,0.0,102.7,-17.0
10044,field_out,0.0,71.9,81.0
10048,field_out,0.0,95.1,18.0
10052,field_out,0.0,84.5,43.0
10053,field_out,0.0,80.1,33.0
10056,field_out,0.0,79.6,31.0
10058,field_out,0.0,98.9,37.0
10069,field_out,0.0,108.3,20.0
10072,single,0.9,112.0,-6.0
10076,field_out,0.0,89.3,-22.0
10077,field_out,0.0,86.7,41.0
10084,field_out,0.0,89.4,80.0
10100,field_out,0.0,102.9,22.0
10103,single,0.9,54.2,-20.0
10107,field_out,0.0,91.4,65.0
10117,double,1.25,82.5,15.0
10122,field_out,0.0,78.2,30.0
10124,field_out,0.0,87.3,19.0
10126,field_out,0.0,100.9,19.0
10133,field_out,0.0,93.7,34.0
10138,field_out,0.0,80.7,55.0
10145,double,1.25,103.3,23.0
10151,field_out,0.0,87.4,64.0
10163,field_out,0.0,102.1,0.0
10175,field_out,0.0,102.5,20.0
10176,field_out,0.0,89.4,40.0
10179,field_out,0.0,100.2,21.0
10181,single,0.9,78.4,25.0
10184,field_out,0.0,66.7,66.0
10200,field_out,0.0,83.4,69.0
10203,field_out,0.0,82.2,69.0
10207,triple,1.6,100.2,3.0
10208,field_out,0.0,87.5,53.0
10210,home_run,2.0,99.5,30.0
10215,field_out,0.0,74.5,56.0
10222,home_run,2.0,110.5,18.0
10223,field_out,0.0,107.6,-6.0
10228,home_run,2.0,95.2,28.0
10229,double,1.25,95.3,25.0
10230,field_out,0.0,90.3,68.0
10234,single,0.9,83.4,13.0
10239,field_out,0.0,59.1,-10.0
10244,field_out,0.0,84.8,-15.0
10255,field_out,0.0,66.7,63.0
10258,field_out,0.0,96.3,39.0
10264,field_out,0.0,97.6,27.0
10265,field_out,0.0,101.8,-5.0
10266,field_out,0.0,80.5,60.0
10269,field_out,0.0,88.4,33.0
10273,field_out,0.0,74.0,-1.0
10278,field_out,0.0,87.0,-22.0
10283,field_out,0.0,94.4,33.0
10292,field_out,0.0,79.5,45.0
10298,single,0.9,98.8,-12.0
10301,field_out,0.0,95.9,-5.0
10303,home_run,2.0,105.1,34.0
10310,field_out,0.0,90.8,-3.0
10316,field_out,0.0,93.6,41.0
10323,single,0.9,100.3,8.0
10327,field_out,0.0,110.1,-5.0
10337,home_run,2.0,107.8,24.0
10342,field_out,0.0,97.3,51.0
10350,single,0.9,70.3,36.0
10351,field_out,0.0,75.9,50.0
